,2018 bmw 5 series,2017 bmw 7 series,2016 벤츠 C클래스,2018 벤츠 S클래스 L
0,여기 견적요청 하는놈들 진짜 실구매자 맞긴맞음?,"S클래스에 비해 상대적으로 판매가 부진한건 사실이지만, 7시리즈 만의 아이덴티티를 구축하는 과도기를 겪고있다고 생각합니다. 조금은 젊은 나이의 성공자 이거나 스포티 하면서도 고급스러움을 추구한다면 BMW 7시리즈를 따라갈 플래그쉽 은 없다고 생각합니다. 이번 7시리즈도 저에겐 완벽하네요. 갖고 싶습니다! 갖도록 노력하겠습니다!!",세단에서 이만큼 완성된 디자인도 없을듯,아버지5년만 기다리세요.. 꼭 사드리겠습니다
1,펙트 : 가격말고 깔게 없는차...,흰색 M패키지한거 740Li였나d였나..튼.. 그렇게간지나던데...밤에봐서그런가 더 간지났음..bmw만의 특유의눈매에 잘빠진몸매 깔끔한흰색에 스포티한m패키지가 눈에 딱!,c클래스가 중형이라는 엄청난 정보를 알게 되셨습니다!!,S클 타는사람은 진짜 부자...
2,5시리즈랑 e클타면 바로 답나옵니다... 5시리즈 선택 89%,ㅋㅋㅋ m760 저덩치에 제로백 3.7초는 어찌 나오는거림??? 미쳣니 진짜 그냥,독일3사 엔트리중에 가장 엔트리답지않은차... 벤츠는 역시 벤츠야,벤츠 디자인이 점점 젊어지네. 빨리 성공한 30대들도 넘어올듯하다
3,520d 선납 2천 1월 2월 프로모션및 비공식할인 견적 내주시면 감사하겠습니다. ohj235689@naver.com으로 연락바랍니다.,"▶ BMW 7시리즈 ◀ 모든 등급 1월 프로모션, 가장 빠른 출고일, 서비스 ①등 ★ Ο1Ο 5 9 l 3 ─ 2 7 7 5 ★ 　◀　　　　　프로모션 정말 자신 있습니다 !! GOOD",c200 얼마까지 할인되는지 알아보고 있습니다. 프로모션이랑 비공식할인 연락주세요 jpange@naver.com,● 벤　츠 ● S클래스 모든 차량 BEST 조건　○1○ 5 9 l 3 ─ 2 7 7 5　　　　　　　　　　　　　　　　　　　　　　　　리스 or 장ㄱ│렌트 구매 예정이시라면　☎ ○ 1 ○ 5 9 l 3 ─ 2 7 7 5　　/
4,520d m sport 카드3천 나머지 할부 현금서비스견적 부탁합니다. 이번달 구매예정 경기북부lee100won2@naver.com,730d 숏바디 견적부탁드립니다. 30프로 선납 나머지 36개월 개인할부. kmkoh@naver.com,선납 2000이랑 3000 프로모션및 비공식할인견적알아보고있습니다. ohj235689@naver.com 많은 연락 기다리겠습니다,월 2300만원 벌면 탈수있나요?
5,기본 천만할인 안하면 못파는차 독3사 벤츠 다음 비엠이었는데 이제는 아우디한테도 발리는 실내외 어쩌다 이지경,5시리즈랑 디자인 비슷해서 그저 그렇던데 실물 보니까 5시리즈 오징어 되더라 ㅇㅇ 진짜 간지 장난아님 실물은,선수 40프로 리스 36개월 견적 부탁드립니다. jb6kim@naver.com,12기통 미쳣네 ㅋㅋㅋㅋ
6,520d m 현금 완납가 견적 부탁 드립니다.songyc12345@naver.com,"▶ BMW 7시리즈 ◀ 모든 등급 1월 프로모션, 가장 빠른 출고일, 서비스 ①등 ★ Ο1Ο 5 9 l 3 ─ 2 7 7 5 ★ 　◀　　　　　프로모션 정말 자신 있습니다 !!",c200 헤드업 디스플레이 옵션 포함된 사양으로 선수금 2500 + 잔금 3년 할부 견적 부탁드립니다 yhc3936@naver.com 메일로 보내주세요,월 600정도버는데 못타겠죠? 애도키워야되고 대출도값고 이것저것하다보면 현실은 회사차타고다니네ㅠ
7,520d sport Plus+lg019pcs2@naver.com견적 부탁드리니다.,740LI 엑스드라이브 사업자리스 선금 30% 36개월 조건으로 12월 기본 할인 + 최대 프로모션 바로 이야기해주세요 비교후 바로 계약하러 갑니다fovest2006@naver.com,c200d 선수금 3천만 / 24개월 할부로 해가지고 견적좀 부탁해요~ wjdnr910@nate.com,작년부터 경비처리 한도금이 1000만원으로 하향되서 운행일지 적어야 경비로인정된다고하던데 운행일지는 직원이나 기사님이 쓰시는건가요?
8,"매장방문해서 시승하고 견적 받았는데, 한군데 알아보고 바로사는건 아닌거 같아서요. 520d m기본 올 현금 견적 부탁 드립니다.sungsimsung2@naver.com","▶ BMW 7시리즈 ◀ 모든 등급 11월 프로모션, 가장 빠른 출고일, 서비스 ①등 ★ Ο1Ο 5 9 l 3 ─ 2 7 7 5 ★ 　◀　　　　　프로모션 정말 자신 있습니다 !!",c200d 선수금2000 할부36개월 48개월 프로모션 포함한 최적금액 견적부탁드립니다 jrsung1@naver.com,● 벤　츠 ● S클래스 모든 차량 BEST 조건　○1○ 5 9 l 3 ─ 2 7 7 5　　　　　　　　　　　　　　　　　　　　　　　　리스 or 장ㄱ│렌트 구매 예정이시라면　☎ ○ 1 ○ 5 9 l 3 ─ 2 7 7 5　　/
9,외관이 너무 투박하네 지겹다..,인증이 될 수 없는 구조의 배기 판매하고 자동차 검사 전에만 일반 배기로 교체해준다는 양아치 회사 아닙니까? 도로에서 적발되면 과태료도 아니고 벌금인데 범법자 양성 자동차 회사,"가솔린 c200 선수금1000/48개월 , 1000/60개월 , 60개월 전액할부 세가지정도로 흰색 최대한 괜찮은걸루견적 부탁드리겠습니다. yjk4001@naver.com",20살 대학생 첫차로 어떤가요
10,530i xDrive M Sports 랑 그냥 M Sport Plus+ 두가지 견적 요청합니다.(pin2love@naver.com)선수금 3천에 리스 36개월 / 4천에 리스 24개월 부탁드립니다.,730d 롱바디 견적부탁드립다. 30프로 선납 나머지 36개월 개인할부. 12월 구매 myoduck@nate.com,밴스오푼카BMW오푼카 2010형가격 알고싶음,E클이랑 헷갈리는놈들 진짜 신기하네 앞라이트만봐도 s클 E클 구분가능한데 ㅋㅋㅋㅋ
