,2016 벤츠 E 클래스
0,벤츠 E 클래스 구입 대기하시는 분은 가급적 기다리세요. 9단 변속기를 시작으로 기존의 E클래스와는 차원이 다른 풀제인지 E클래스가 2016년 중반기에 출시 예정입니다.
1,아직까진 차가 곧 명함이다
2,벤츠E클래스 로망이지. 솔직히 이만한 차가 어딨어 연비좋아 보기도좋아 가격도 외제차 치고는 괜찮아 A/S문제만 없다면 제네시스 살돈으로 이거사는데 수리할일 한번생기면 제네시스 기름값 몇배는 훅 빨릴까봐 겁나지
3,엘레강스 개간지남.. w213모델은 실내디자인이 죽이지만 껍데기는 w212가 훨신 간지남
4,벤츠 E200 견적 부탁드립니다. 1. ALL 현금2. ALL 할부 (2년)99055831@naver.com
5,무보증금 3년 반납 월납리스료 견적 부탁 드립니다. ( shlee0806@daum.net ) 금주 바로 계약합니다.
6,빌게이츠가 캠리 타는데 빌게이츠의 급을 차로 평가하는 사람은 없을거다. 차로 평가 받는 사람은 그냥 그저 그런 그정도의 사람이고 진짜 있는 사람은 그 사람이 뭘 타던 차로 평가받지 않게 되지. '멋진 사람이 역시 차도 좋구나' 랑 '차는 좋네'랑은 너무 다르지 애초에 차가 명함이라고 하는 사람은 차 외에 내세울게 없는거지. 교양 지식 인성 매력 등등 자기 자신이 가지고 있는게 부족하거든.
7,이때가 디자인 정점
8,벤츠 E클래스 현금100퍼센트 지불해도 DC도 안되 속상해 구입해서 2년째 쓰고있는데 역시 국산차와 비교안됨 안전위주로제작된 벤츠는 기능면에서 월등히 기술력이좋다는 생각을 가끔하지요 코너링과 피로감안전감 다양한18가지 기능등 모두만족 소모품까지 아직 보증기간 1년 더남았지만
9,요즘도 벤츠벤츠 거리는 사람들 많구나... 알아봐주지도 않고 쳐다봐주지도 않는 이클... e400 아니면 어디가서 벤츠 e클탑니다 하지말고ㅎ 쪽 팔린다ㅎㅎ
10,제너 국뽕이니깐 그나마 팔리지 동급차량 동급가격으로 외국에서 승부하면 한없이 초라함.미국서 안팔리는건 팩트이니깐.
11,벤츠가 길바닥에서 너무 많어.뭔가 가오가 안살어.그냥 월급쟁이들중 차에 비중을 더 두는 사람들이 타는차정도로 추락했음.
12,조수석 뒷 자리에 앉아 있었더니 허리 아프고 고속에서 불안 불안. ㄷㄷㄷ
13,차단된 댓글입니다
14,벤츠구매하고 서비스로 썬팅해주는거 후퍼옵틱 클래식으로 받으시나요?
15,솔직히 e클승차감은 별로 . 지인차타봤는데시속130부터 차가시끄러움... 돈더주고 아우디아니면 마이바흐 벤츠 2억짜리 사세요. 승차감 가성비는 그랜져 가 적당함...
