,제네시스 2017 g70,제네시스 2018 g80,제네시스 2017 eq900,2016 bmw 3 series,2018 bmw 5 series,2017 bmw 7 series,2016 벤츠 C클래스,2018 벤츠 S클래스 L
0,국산차중에 그래도 최고아닐까요??,이정도면 중형이 아니고 준중형 아닌가,아무리 까대도 우린 못 사는 차,나와 0.1% 도 관련이 없는 차 를 나는 왜보고있는가......,,,,
1,"거 참.,,G80이든 현기차 까는 사람들 이해가 안가네요전 세계에서 자동차 생산하는 나라가 손가락으로 꼽을 정도인데뭘 그래 벤츠니 비엠이니 따지고 앉았는지꼭 뚜벅이에 돈도 못 버는 자들이 열등감에 사로 잡혀 꼭 까대요 맨날좋은지 안 좋은지 다 타보고들 판단하는 지가 참 의문이네요쯔쯔","아반떼보다 조금 더 크고 소나타, sm6보다 작네",꼭 성공해서 아버지 한대 사드리고싶다...,아니 돈도없는새기들이 견적 요청하고있네,,,,
2,네이버 그지들 천국인데 유독 자동차 뉴스에는 죄다 외제차 끌고 다니네ㅋ,댓글 5000개중 이거 실제로 보고 타본사람 0.1%안된다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,나도 언젠가는 제네시스 에쿠스를 타볼수 있을까?60쯤 되어서 제네시스정도는 타는 인생을 살고싶다,준중형 프리미엄 차량의 교과서....말이 필요없다.,,,,
3,부식현대제철,도심 제한속도 50km 로 바뀐다더라~ 다 포기하고 내세울꺼라곤 직빨 하나뿐인데 안쓰럽다.,아 현대는 싫다. 그러나eq900은 좋다 . 이건 꼭 사고싶다.,풀체인지 언제뜨려나ㅠ,,,,
4,개돼지80 옵션떡칠 기본기호구 엔진빵꾸 급발진 모든시작은 개돼지로 부터,이거 욕하는 애들 대부분이 스팅어는 칭찬함. 그 생선들은 어릴때부터 밥상머리에서도 기아가 무조건 최고라고 교육받은 분들이기 때문에 어쩔수가 없음.,개돼지9000000000000000000000마리 대기중,"견적문의하는새키들 답답해서 글써준다.320i m은 재고없다 4월이나 되야 입고된다 1월기준 650~700나온다320d m은 900~1000 나온다 위 금액은 미니멈은 캐쉬, 맥시멈은 파이낸수다 견적요청좀 고만해라 새키들아 사도않을거믄서",,,,
5,G80 디젤은 언제쯤 나올까요??,비싸다고 겁나 징징대네 그럼 그랜져를가라니까?ㅋㅋㅋ 돈없는애들 타라고 만든차아니야,와... v디스크 그거 얼마한다고 앞에만 넣노 진짜 이정도 가격의 차가 참....,진짜 멋진차~,,,,
6,5GT 30d 수리 입고 시키고 다운그레이드 G80스포츠를 받았다. 몰고 있는데 너무 안나간다. 엑셀 꾹 밟았는데 안나간다. 스포츠란 단어가 부끄러웠다. 렉시콘 프리미엄 스피커라는데 음질이 3만원짜리 브리츠보다 못하다. 노래를 껐다. 반자율주행모드를 키고 핸들을 잡는데 직진이 안된다. 계속 쏠린다. 살아생전 처음으로 양손으로 핸들을 잡았다. 스트레스.. 경사가 심한 곡선도로가 나왔다. 세팅을 어떻게 했길래 롤링이 너무 심하다. 물렁물렁한 서스 .. 불안하다. 뒤가 털릴까봐 30km 이상 못밟겠다. 차가 밀린다..약속 늦겠다.. 어라? 계기판 연비가 3.2km이 뜬다. 연료경고등이 떳다. 주유소만 몇번째인지. 귀찬타.. 겨우 백화점에 시간맞춰서 갔다.상대방은 제네시스를 보더니 흉기차 머냐고 비아냥 됐다. 렌트가 흉기차가 나오는건 올해부터 법이 바껴서인데. 다운그레이드는 너무 억울했다. 고속도로를 가야하지만 람다도 세타2 결함 동일증상 불안해서 고속도로도 못탔다. 목숨은 하나니까.,3시리즈 댓글은 무슨 엄청난 외제차인마냥 자기랑상관없는차라고 하는데 왜 g70댓글은 만만하게 생각하는 댓글이많지? 분명 g70이 훨비싼데;;,스텝게이트 타입 기어노브로... 멋지게... 변속하는 맛도 있고...,320i m팩 일시불 견적 부탁드립니다 zpzp9678@naver.com,,,,
7,G80스포츠 수리 입고시키고 BMW 640D 그란쿠페 몰고있는데 너무시끄럽다...너무 좁다...너무 불편하다스피커가 망가진거처럼 울린다.엑셀밟는 발이 차량진동으로 얼얼하다.스탑앤고할때마다 시동소리 미친다.실내가 너무 꾸졌다...편의옵션이 부족하다. 어라운드뷰 화질 최악이다.장점. 공차중량 1900KG 제로백 5.2초 연비12.8KM 전장5M짜리차가 풀악셀 밟으면 순간이동된다.1억3천짜리차가..이거말곤 모조리 다 불편하다. 그냥 내차가 조용하고 잘나가고 편리하다.CLS를받을걸 잘못했다...,"스타필드에서 타 봤는데, 뒷자석이 진짜 너무 좁음!! 애 있는집은 절대 사면안되는차가격대비 너무 별로인차인듯",EQ900과 캐딜락 CT6를 거의 비슷한 시기에 시승해봤는데 솔직히 EQ900이 더 좋더군요. 물론 근소한 차이지만 말이죠. 내구성은 오래 타봐야 검증되는 거지만 신차 품질로만 봤을땐 잘 만든건 사실입니다. 돈이 여유있거나 S클래스급 이상의 아우라가 필요하신 분 아니라면 딱 좋은 차입니다.,이걸 사고 그지같이 사느냐 현재에 만족하고 조금이나마 풍족하게 사느냐 그것이 문제로다,,,,
8,하이브리드 만들어 주세요,G70 2.0T 슈프림 (풀옵) 최저가 견적 요청드립니다 plan0788@naver.com48개월 선수금 10%,"각쿠스만큼의 포스는 없지만, 그만큼 많이 젊어진 디자인...but 젊어진 디자인으로 30~40대까지 고객을 넓히려 했으나, 50대 이상이 관용차나 사업용차로 많이 타서 그 이미지는 디자인만으로 깨지진 않을 듯...여튼 솔직히 기존 에쿠스보단 디자인이나 성능 모든게 압도함...기존 에쿠스가 가성비였다면 이차는 당당히 견주어 볼만함(압도하거나, 이기긴 힘들어도 비교는 해볼만 하다는 거 ㅋ)물론 구형각쿠스만큼의 포스나 위엄은 없지만 ㅋ",이번달안으로 출고 했으면 합니다. 330im 올 현금 견적 부탁드립니다.west279@naver.com,,,,
9,현대 차 사면 적용된느 강제 옵션 쌩까기 옵션 (feat.모트라인 노사상님,제네시스 G70 2.0 가솔린 터보제네시스 G80 3.3 가솔린 견적 요청드립니다lamia1028@naver.com,여기서 독3 타령하는애들 확,풀체인지 전까지 무조건삽니다 일시불 입니다twinlife15@naver.com 견적서 주세요할인 충분히 안나온다면 계속 연락하면서 충분한 할인 나오면 계약하겟습니다,,,,
10,"""차량 무게에 비해 서스펜션 내 링크와 로암 등이 상당히 약하게 제작돼 있다""며 ""수입차 업체의 경우 단단한 서스펜션을 위해 알루미늄 주물로 타이어를 꽉 잡아주는 작업을 진행한다. 하지만 해당 차량의 경우 철판이 약하게 제작돼 고속 주행이나 바람이 불 때 차량 뒷부분이 흔들린다"" ""현대차가 G80의 차체만 키웠을 뿐, 무게와 속도를 뒷받침할 수 있는 강도의 서스펜션을 개발하지 못한 것""이라며 ""구조적인 문제인 만큼 개선 가능성이 낮다. 이 차를 구매하는 고객들은 차체 떨림 현상을 그냥 받아드리는 수밖에 없다"" ""엔진 교환 작업을 받은 차주도 있지만, 떨림 현상이 다소 개선됐을 뿐 없어지지 않는다고 한다""면서 ""일부 차주의 경우, 안전을 위협받는다는 이유로 G80을 처분하기도 했다""고 했다.이어 그는 ""현재 해당 문제를 소비자원에 고발한 상태""라며 ""동일 결함을 호소하는 피해 차주들과 함께 현수막 제작과 시위 등의 활동을 전개해 억울함을 알릴 것""이라고 강조했다.","G70, 아우디A6, 파사트GT 셋중에 사려하는데 뭐가나을까요?",실물이 도라다녀야보지.. 어쩌다가~보이면 그나마도 숏바디인데가 하.허.호 넘버로 보이더만.. 케딜락보다 비싼 국산세단을 현실에서 미쳤다고 사것냐.. 죄다 남의돈이나 꽁돈으로사겠지,320d m스포츠 선수금 1500 / 할부60개월 견적 부탁드립니다. toprogrammer@naver.com,,,,
11,아씨춥다 .마이 블루ㅎ ㅎ ㅎ. 어제 .2년차 애마 G80 벌써 여섯번째 웨딩카 ㅜ ㅜ ㅜ 지인짜쓱들이 뽀대 ~좋은차는 기똥차게 알아가지고서리~ E클.벰 .다 제끼고 웨딩카 당첨ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ 비공 악플러는 마 평생 장가못갈놈 간주 ㅋ ㅋ ㅋ ㅋ공감 선플러는 장가 안간분 간주 ㅋ ㅋ ㅋ 무반응 ?은 장가감.아님 기양 back .~ㅋ ㅋㅋ,개돼지70 오늘도 개돼지들은 흉기산을 타지,다음달이면 1년째인데 뭐 이거 사면 차욕심이 별로 안생긴다는게 장점? 에스클이나 포르쉐아님 그다지 눈길도 안가더라,320d m스포츠 선수금 1500 / 할부60개월 견적 부탁드립니다. eksclt@naver.com,,,,
12,"ㅋ... 오늘 봉은사-삼성역 근처 고급빌라(100억~)에 사시는 분 내외하고 땅사러 어디 좀 다녀왔는데.. 아침에 모시러 가서 보니 그 빌라단지 차중에 제일 좋은게 제네시스였다. 나머진 모닝, 레이, 굉장히 오래된 소나타도 한 대 있었고.. 내 차로 모시려니 아들차로 가자 하면서 관리인한테 차키 가져오라고... 그리고 시동킨게 10년은 족히 넘어보이는 소나타였다. 부자들은 이래서 부자가 되는구나 싶더라. 자식은 별로 성공 못해서 검소하게 키우셨나 보다 했더니 강남 성형외과 의사라고..ㅋㅋㅋ 얘들아 능력에 맞게 살자 차 좋은거 탄다고 우리 인생 더 업그레이드 되는거 아니고, 이런차 까내린다고 니네가 잘나 보이지 않는다ㅋㅋ",정말 이 차를 구입안한것을 다행이라고 생각합니다. 천만원 더 주고 GLC 클래스 구입했습니다. 만족도 높습니다.,개돼지9000000000000000000000000000000000000000000000마리,330i 엠팩 2천만원 선수금 나머지 할부 36개월 견적 부탁드려요 lsk0324@naver.com,,,,
13,차단된 댓글입니다,이정도면 중형이 아니고 준중형 아닌가,아무리 까대도 우린 못 사는 차,나와 0.1% 도 관련이 없는 차 를 나는 왜보고있는가......,,,,
14,차단된 댓글입니다,진심 심각하게 빠른차 ㅋㅋㅋㅋ,차단된 댓글입니다,320i 럭셔리랑 330i 선수금 3천 36개월 할부견적 부탁드립니다.twimreal@gmail.com,,,,
15,"현대는 기술도 개같고 직원들 인성도 개차반이다. 연비는 말할것도 없고 외형은 아반떼,소나타랑 비슷하다 외형도 진짜 보기싫어 죽겠다 . 내부도 멋지게 해놓으면 되는데 이것저것 다 넣어놨다.그리고 현대자동차 매장에 가면 전혀 친절하지가 않다. 사면 사고 안사면 안사라는 식이다. 네이버에는 개들만 모여있나보다. 현기차 까면 열등감에 사로잡히고 연봉도얼마 없다는데 니네들이 그걸 어떻게 아냐고. 제발좀 쌉쳐라 돌대가리들아",싼각겨은 아니지만 이가격에 제네시스 타는게 어디야다들 말많네거참 제네시스라는점을 생각하면 이정도가격이면 그렇게 비싼건 아니라고생각하는데,연비 망........... 에쿠스도 기름먹는 하마였지 ㅎ,330i 엠팩 3천만원 선수금 나머지 할부 36개월 견적 부탁드려요~pkkiller97@naver.com,,,,
16,하 .춥다 .마이카 블루 . 어제회식후 동료 E 딸딸이로 귀가출근 오늘퇴근시 마이카에 탑승하니 뜨듯 안락 ..E 딸딸이 비교는 노! 노 !완전 아방궁이 따로없네 .ㅎㄷㄷ G80 쵝오 !!,사고싶다 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,이! 큐!,죽이네요^^,,,,
17,EQ900은 너무 비싸서 고민인데 이게 그나마 낫다,아진짜 졸라사고싶다!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 중고디젤나오면 노려봐야겟다,현대차중 절대 함부로 깔수 없는차중 하나임 현대에서 고급 제네시스 브랜드와 고성능 N브랜드로 나오는것들은 절대로 허투루 만들지않음,죽이네요^^,,,,
18,경쟁사 모델처럼 다음 풀체인지때는 다이어트좀 하자 g80아 !!,한국시자동에도 수동을 내놔라 ㅠㅠ 내놔라!!! 내놔라!! 미국과 차별이냐!!!,Eq900중고차사면as 쿠폰남은거승계되나요?잇는분답변부탁드려요,320d 전액할부 1월 구매 할인금액 견적 부탁드립니다. ehdgns451@naver.com,,,,
19,개돼지80,조선 m3,우리나라 국산차중에 이게 젤 괜찮음 디자인은 나쁘지않고 가성비는 나름 괜찮은데..,"320D , 328i m스포츠 패키지 흰색 선수금 2000만원 36개월, 60개월 견적부탁드립니다. jiwill@naver.com이거 등록하면 메일 오긴 함??",,,,
20,2012년식 벤츠 E클 타는 형이 2017년11월에 차를 바꿀려고 제네시스 매장을 갔다가 g80이 이뻐서 시승을 해봤다.그런데 아우디 매장가서 세일하는 a7샀다.,3.3T가 가장 멋있다,요새 벤츠나 렉서스나 죄다 가격을 올려버려서 eq900이 오히려 저렴해짐 ㅋㅋ,3달구지...ㅋ 또는 강남소나타,,,,
21,부식현대제철,와 이차 돈벌고 사야겠다ㅋ,"3.3터보 풀옵션 실소유주이다. 올해 7월 구입해서 5000km 운행중. s클은 안타봐서 모르겠지만 bmw 750li 보다도 만족도 높다. 확실히 더 조용하고, 경쾌하게 가속되고, 뒷좌석도 더 넓고 안락한 느낌이고, 연비도 더 좋아. 실내 인테리어도 충분히 고급지고... 하지만 가격은 수천만원 저렴. 딱히 불만이 없는차.",견적은 전시장가서 상담받아라 이런데 올리지말고..,,,,
22,"■ G80 ■ 아직도 매장에서 비싸게 구매 하시나요?　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　■ G80 ■ 장기 렌트 , 리스 (개인사업자 , 법인) 최고 조건 상담 가능합니다 ○ 1 ○ 5 9 l 3 ─ 2 7 7 5　　　　　　　　　　벤츠 s클래스 , bmw 7시리즈 비교 가능 합니다!　○ 1 ○ 5 9 l 3 ─ 2 7 7",스팅어랑 같이 후륜 세단이 나왔다는거에 너무 감사하다,아버지 차인데 끝장납니다 그냥..ㅋㅋㅋ 개조용하고 개잘나가고 개고급지고 실내도 개간지나고 그냥 모든면에서 깔게없음 이거 사는사람들보고 벤츠s클 살돈없어서 산거라 하는 돌머리는 없겟죠..?ㅋㅋㅋㅋㅋ,320d Ed와 320I 선수금 1000만원에 48개월과 60개월 할부 견적 각각 요청드립니다 rho1962@hanmail.net,,,,
23,죽이네요^^,프리미엄이라면서 후방 깜빡이 전구 쓰는거 실화임?;;;; 원가절감의 끝판왕인가,탈현대차 이차만 현대차가 아님,준중형급에선 교과서,,,,
24,현금+할부로 살때 워런티는 얼마나되나요? sulirang11@ naver.com,"실제로봤는데 개이쁨... 제네시스 그냥 조금 작은차느낌.. 외형은 고급스러움,,",G80 부터는 막깔 차가 아닙니다,견적충들 밖에 없네. BMW 보증기간 2년인건 알고 사는거냐? ㅉㅉ,,,,
25,쌓여간다 쌓여간다 수입차센타에 감당안되는 수리비에 못찾는 사고수입차가 ..,ㅉㅉ 밴츠 따라하는 거 봐라. 하찮은 한국인 증명이다. 수고했다. 한국인은 쓰래기라는걸 전세계에게 최선을 다해 알려다오.,개돼지900,차가 좋으면 뭐하냐 차주들 때문에 이미지 씹망인데 준준형 프리미엄의 교과서는 개뿔 카푸어 양카의 교과서지,,,,
26,급발진 미션결함 에어백미전개 이런문제들부터 해결해줘야 하지않나요? 결함인정도 안하고 해결도 안해주면서 가격만 올리는 기업의 차를 사줘야하는건가요?,내가 중고경차팔고 백만원 비트코인박아서 천만원 수익냈다 유후~ g70 곧이씀 산다~ 난 더이상 거지가 아니지 백만원으로 차를산다 헤헤,이 인간은 솔직히 까면 안됨,차크기충들 쥐칠공 쓰레기차 나오니까 아닥하는거 보소 ㅋㅋ 막상 후륜차 나오니까 지들이 더 좁아 ㅋㅋ,,,,
27,다 좋은데 연비가 너무 창렬이다,아주 그냥 입으로 떠드는거 보면 다들 슈퍼카 오너들이짘ㅋㅋㅋㅋㅋ,그냥 최고임.,카푸어들 드림카 ㅋㅋㅋ,,,,
28,이야~~! 진짜 창렬하다... 환생해도 스튜핏,여기 사람들이 댓글로 하도 디자인이 아반테 스포츠 풀옵션판 어쩌고 하고 디자인 개망이라고 해서 별 기대도 안하고 있었는데 우연히 강남에서 흰둥이로 봤는데 개이쁨,개돼지900에디션,견적 요청드립니다. 12월중구매계획 있어요Brtieney@naver.com,,,,
29,지금타고있는 나의 현대차도 사람들이며 나도 충분히 좋다고해주고 만족하며 타고있는데 이차를 보고나니 혹하는구나.. 안되겠다 김생민의 영수증 보러가야겠다,근제 G70 딋자리가 좁을것갔음 음.... 3시리즈 C클래스 이런거보다 더 좁을 껏 같음 내가 영상 봤는데 뒷자리가 너무 좁음ㅋㅋㅋㅋㅋㅋ,http://m.kyeonggi.com/?mod=news&act=articleView&idxno=1418581 현대 그랜저 주행중 코일스프링 파손,320d견적 요청드립니다 sonchang789@naver.com 가격만 맞으면 올현금 가능합니다,,,,
30,어휴 실내 극혐 진짜 90년대 차도 아니고 틀딱들이나 타면서 틀니 부들부들 하겠노,다좋은데 비싸. 그게 치명적인 단점.,작년에 BMW 740Li 조수석에 타보고 어제 eq900 타봤는데 실내는 별로 차이 없고 오히려 eq900이 약간 더 고급스러워 보이고 승차감은 시내주행만 봐서는 bmw가 약간 딱딱한 느낌이더만 오너 친구얘기로는 2시간 이상 장거리 갈땐 bmw740이 덜 피곤하고 시내 주행할땐 eq가 승차감은 더 좋다고 하더만. 직접 몰아보진 못했지만 조수석에 탄후 다음날내차 그랜저TG 타니 야~ 왜일 시끄럽고 승차감이 안좋은지 알겠더만,320d ed견적 요청드립니다 sonchang789@naver.com 가격만 맞으면 얼현금 가능합니다,,,,
31,G70은 준중형인데 얘는 왜 대형이냐?차크기도 대형아닌데.배기량으로 대형이라고 하는거면 더 말이 안되는거고.,A45 AMG 사겠다.,이거 직접 타봐야 알수있음 얼마나 좋은차인지. 하다못해 모터스튜디오 가서 그냥 앉아보기라도 해라 난 스포츠카에 gtr이 있다면 대형세단엔 eq900이 있다 생각함. 뭐 절대성능은 당연히 s클이 bmw도 아우디도 다 썰고 다니겠지 근데 이 가격에 이정도? 벤츠도 이렇게는 못만듬 ㅋㅋ 장담한다. 오너드리븐이면 1억 이상 넣지말고 그냥 7~8천 넣고 구성하면 딱 적당함 뒷자리 디스플레이 이딴게 오너드리븐한테 뭐가 필요하겠음 그냥 앞좌석 편의사양하고 가죽옵션 몇개 넣고 타면 최상의차임 진짜 개조용하고 개편함 이건 타보면 딱 와 소리부터 나옴 진짜 까고싶으면 일단 타보고 까라,"전액 현금/일부 할부로 구입시 프로모션, 견적부탁합니다",,,,
32,타사 영맨분들이 깔만하네요 차가 너무 잘팔리니,알버트비어만 고성능 분야 사장으로 진급했다더라 ㅋㅋㅋ 이번에 플랫폼 전문 파예즈 라만 형님까지 영입했다던데 그럼 뭐하나~ 부식현대제철초약력약판에 안보이는 곳곳에 우리 흉기 임원들 원가절감 기술 들어가면 폐기물인데~ 아주 프리미엄 단어 붙이고 비싸게 팔아먹을려고 별 쇼를 다하네~ 그냥 니들답게 전륜 물렁서스에 공간 넓게 빼고 옵션으로 승부해라~ 되도않는 기술 독일에서 비싸게 렌트하지말고,"현재 달러화 약세로, 역직구 하면 한국보다 저렴하고, 더 튼튼한 제네시스를 만날수 있어요,G80도 미국이 저렴합니다. 밑에 링크 클릭하세요 https://goo.gl/jf1oB5",선금2000 견적 부탁 드려료~ dudal1105@nate.com,,,,
